# core_level: C 1s
# photon_energy: 1486.6
binding_energy_eV,intensity
282.0000,118.9965
282.0200,92.2691
282.0401,128.2480
282.0601,132.2242
282.0802,74.5700
282.1002,87.7288
282.1202,116.5150
282.1403,107.8232
282.1603,114.0063
282.1804,97.4801
282.2004,132.3322
282.2204,130.5080
282.2405,116.4856
282.2605,137.9277
282.2806,124.9561
282.3006,98.6485
282.3206,123.4434
282.3407,97.1304
282.3607,134.1228
282.3808,115.8072
282.4008,113.3667
282.4208,103.7103
282.4409,142.0517
282.4609,114.7893
282.4810,109.6000
282.5010,111.4183
282.5210,129.4098
282.5411,126.3837
282.5611,127.6497
282.5812,128.3411
282.6012,162.8972
282.6212,112.2859
282.6413,110.5303
282.6613,104.8723
282.6814,133.8523
282.7014,144.5101
282.7214,120.0636
282.7415,105.9661
282.7615,106.7220
282.7816,136.6828
282.8016,139.0134
282.8216,135.5082
282.8417,111.8525
282.8617,130.3459
282.8818,128.6006
282.9018,131.2309
282.9218,144.9041
282.9419,132.5964
282.9619,142.3848
282.9820,130.8759
283.0020,136.0633
283.0220,143.7056
283.0421,102.7814
283.0621,126.4255
283.0822,124.3600
283.1022,121.9972
283.1222,130.3431
283.1423,166.8853
283.1623,120.8857
283.1824,158.8655
283.2024,107.2289
283.2224,135.6710
283.2425,147.2105
283.2625,157.3792
283.2826,161.7006
283.3026,165.2960
283.3226,144.5496
283.3427,144.5252
283.3627,173.3447
283.3828,154.9492
283.4028,136.0416
283.4228,141.8734
283.4429,149.3519
283.4629,181.1188
283.4830,177.7071
283.5030,192.6158
283.5230,174.4894
283.5431,190.7319
283.5631,204.9152
283.5832,191.3923
283.6032,212.2426
283.6232,195.7667
283.6433,208.0313
283.6633,214.3526
283.6834,205.1918
283.7034,246.4143
283.7234,235.3161
283.7435,253.4642
283.7635,271.8377
283.7836,280.6764
283.8036,295.1070
283.8236,290.4281
283.8437,295.0889
283.8637,313.6884
283.8838,293.8453
283.9038,311.5493
283.9238,327.5345
283.9439,348.1430
283.9639,390.7881
283.9840,379.9935
284.0040,406.4540
284.0240,456.5148
284.0441,440.5091
284.0641,480.0695
284.0842,464.8983
284.1042,498.2631
284.1242,502.7017
284.1443,534.7570
284.1643,578.6568
284.1844,548.0634
284.2044,612.4686
284.2244,630.0772
284.2445,635.3109
284.2645,640.4263
284.2846,693.1748
284.3046,703.7031
284.3246,741.6240
284.3447,760.1386
284.3647,814.4542
284.3848,800.2632
284.4048,807.0509
284.4248,853.3363
284.4449,876.0570
284.4649,920.3366
284.4850,930.8502
284.5050,941.6873
284.5251,983.5292
284.5451,949.4158
284.5651,978.4407
284.5852,989.7678
284.6052,1016.4887
284.6253,1011.5642
284.6453,1065.3503
284.6653,1060.4023
284.6854,1046.2006
284.7054,1064.5739
284.7255,1098.8608
284.7455,1115.4430
284.7655,1143.0501
284.7856,1164.1463
284.8056,1115.2165
284.8257,1086.5035
284.8457,1061.3412
284.8657,1105.3756
284.8858,1078.1955
284.9058,1079.0290
284.9259,1066.4912
284.9459,1065.9059
284.9659,1078.7067
284.9860,1047.9623
285.0060,1027.9497
285.0261,995.6793
285.0461,967.2424
285.0661,974.5338
285.0862,965.9951
285.1062,984.6335
285.1263,933.5825
285.1463,931.9348
285.1663,883.2977
285.1864,850.3859
285.2064,835.4743
285.2265,820.9438
285.2465,858.7547
285.2665,780.6406
285.2866,794.9437
285.3066,741.5156
285.3267,759.9677
285.3467,731.2221
285.3667,703.0599
285.3868,688.5829
285.4068,660.0926
285.4269,666.5283
285.4469,633.5931
285.4669,603.9683
285.4870,589.4404
285.5070,605.7257
285.5271,621.9067
285.5471,582.3673
285.5671,566.4399
285.5872,564.9833
285.6072,576.6521
285.6273,546.9938
285.6473,527.2641
285.6673,551.2766
285.6874,532.1713
285.7074,549.5157
285.7275,518.4064
285.7475,486.9048
285.7675,481.3658
285.7876,539.7325
285.8076,539.7870
285.8277,500.8997
285.8477,496.5384
285.8677,533.6352
285.8878,482.9158
285.9078,488.2105
285.9279,520.3675
285.9479,501.3003
285.9679,511.0232
285.9880,509.9765
286.0080,522.2467
286.0281,545.9677
286.0481,521.9681
286.0681,535.3311
286.0882,483.6451
286.1082,525.7140
286.1283,511.6522
286.1483,505.7044
286.1683,513.7661
286.1884,525.5325
286.2084,551.0125
286.2285,506.2005
286.2485,532.8950
286.2685,521.6444
286.2886,523.2880
286.3086,547.8618
286.3287,535.9747
286.3487,548.8023
286.3687,515.2438
286.3888,500.1398
286.4088,504.7639
286.4289,508.7491
286.4489,501.5865
286.4689,470.0468
286.4890,486.7768
286.5090,482.3486
286.5291,520.5689
286.5491,499.8451
286.5691,437.0217
286.5892,439.8434
286.6092,407.5893
286.6293,416.1099
286.6493,425.1368
286.6693,433.7119
286.6894,385.6868
286.7094,377.7955
286.7295,338.5105
286.7495,368.7790
286.7695,341.3871
286.7896,342.7041
286.8096,326.4937
286.8297,332.9887
286.8497,290.6906
286.8697,287.6251
286.8898,350.8416
286.9098,273.9873
286.9299,269.4848
286.9499,320.0651
286.9699,333.5703
286.9900,244.4285
287.0100,253.1463
287.0301,260.2646
287.0501,281.2094
287.0701,220.3878
287.0902,229.0031
287.1102,243.5386
287.1303,231.0741
287.1503,209.5497
287.1703,209.3997
287.1904,179.8920
287.2104,198.2510
287.2305,193.6216
287.2505,199.8367
287.2705,180.6376
287.2906,198.0301
287.3106,206.0098
287.3307,186.3172
287.3507,187.9894
287.3707,180.0508
287.3908,177.3051
287.4108,161.4645
287.4309,181.0884
287.4509,171.9397
287.4709,215.1332
287.4910,204.3720
287.5110,180.5003
287.5311,157.6368
287.5511,150.9930
287.5711,197.6283
287.5912,179.8379
287.6112,185.1685
287.6313,141.8538
287.6513,196.6633
287.6713,188.7526
287.6914,159.1776
287.7114,173.8414
287.7315,190.5870
287.7515,188.5491
287.7715,183.9807
287.7916,190.2070
287.8116,189.8088
287.8317,200.5808
287.8517,229.7405
287.8717,151.8488
287.8918,201.3965
287.9118,212.6852
287.9319,218.1559
287.9519,207.9276
287.9719,183.3993
287.9920,228.2884
288.0120,259.4855
288.0321,197.4750
288.0521,248.6341
288.0721,227.9719
288.0922,236.4677
288.1122,219.7423
288.1323,237.1584
288.1523,272.8237
288.1723,261.3661
288.1924,287.1507
288.2124,278.7320
288.2325,266.5193
288.2525,295.0311
288.2725,271.1950
288.2926,281.0727
288.3126,260.5019
288.3327,269.4954
288.3527,255.7467
288.3727,290.8067
288.3928,248.5485
288.4128,288.6324
288.4329,269.8073
288.4529,297.4385
288.4729,289.1779
288.4930,310.4711
288.5130,288.3204
288.5331,241.6601
288.5531,270.9084
288.5731,247.7075
288.5932,259.4402
288.6132,298.4524
288.6333,279.1713
288.6533,250.4138
288.6733,241.8780
288.6934,260.3660
288.7134,232.7461
288.7335,240.8416
288.7535,257.5238
288.7735,271.2532
288.7936,257.0420
288.8136,195.6298
288.8337,244.0132
288.8537,235.7305
288.8737,238.8377
288.8938,259.0720
